generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
2669       | カネ美食品                                         | 小売業               | 2018-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2669       | カネ美食品                                         | 小売業               | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2670       | エービーシー・マート                               | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2670       | エービーシー・マート                               | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2681       | ゲオホールディングス                               | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2683       | 魚喜                                               | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2683       | 魚喜                                               | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2685       | アンドエスティＨＤ                                 | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2685       | アンドエスティＨＤ                                 | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2686       | ジーフット                                         | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2686       | ジーフット                                         | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2687       | シー・ヴイ・エス・ベイエリア                       | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2687       | シー・ヴイ・エス・ベイエリア                       | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
