generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | その他                   | NetSales         | total              |    9,299,000,000 | NetSales                         | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | total              |  182,014,000,000 | NetSales                         | lower_priority_duplicate    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | total              |  191,313,000,000 | NetSales                         | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded | Reconciling Items        |                  |                    |     -323,000,000 | NetSales                         | excluded_adjustment_or_elimination_member
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_2:excluded_no_supported_metric
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_3:excluded_asset_table
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_4:excluded_no_supported_metric
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_5:excluded_no_supported_metric
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_6:excluded_no_supported_metric
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | エネルギ ー事業          | NetSales         | total              |  195,533,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | ＰＭ／ 健康・ スポーツ事業 | NetSales         | total              |    2,797,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | 電力事業                 | NetSales         | total              |   17,757,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | その他 事業 （注）1      | NetSales         | total              |    5,181,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | エネルギ ー事業          | SegmentProfit    | segment_profit     |    3,494,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | ＰＭ／ 健康・ スポーツ事業 | SegmentProfit    | segment_profit     |      399,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | 電力事業                 | SegmentProfit    | segment_profit     |      937,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | SegmentProfit    | segment_profit     |    4,832,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | その他 事業 （注）1      | SegmentProfit    | segment_profit     |     -227,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Energy Enterprise | OperatingIncome  | operating_profit   |    3,494,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | OperatingIncome  | operating_profit   |      399,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Power Industry | OperatingIncome  | operating_profit   |      937,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    4,832,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | その他                   | OperatingIncome  | operating_profit   |     -227,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    4,604,000,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | excluded | Reconciling Items        |                  |                    |     -798,000,000 | OperatingIncome                  | excluded_adjustment_or_elimination_member
