doc_id	security_code	form_type	period_end	source_tags	existing_row_count	proposed_row_count	selected_candidate_count	excluded_candidate_count	review_row_count	excel_suppressed_segment_profit_count	status
S1007JV4	76010	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007K28	96020	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	10	24	60	0	0	0	rebuild
S1007K34	80780	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	24	28	56	11	0	0	rebuild
S1007K6E	81660	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007K96	74270	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	8	16	0	0	0	rebuild
S1007K9P	22940	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	30	71	0	0	0	rebuild
S1007KA3	80080	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	2	0	0	rebuild
S1007KBH	33530	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	50	2	0	0	rebuild
S1007KCQ	81940	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KD4	82780	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	22	52	4	0	0	rebuild
S1007KD8	32220	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KF3	74500	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KFF	98610	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	36	77	6	0	0	rebuild
S1007KFS	27890	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007KHA	82670	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	20	52	102	9	0	0	rebuild
S1007KI0	99460	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	12	22	7	0	0	rebuild
S1007KJ4	98350	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KKC	36780	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	15	20	36	4	0	0	rebuild
S1007KKS	30650	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KQV	97160	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	2	0	0	rebuild
S1007KS3	52710	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	48	3	0	0	rebuild
S1007KTD	76240	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KVE	98760	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KWC	26680	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KWL	31980	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007KXL	23410	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	44	0	0	0	rebuild
S1007KXQ	43430	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	33	10	0	0	rebuild
S1007KZG	97780	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L14	30830	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L2C	77190	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	54	8	0	0	rebuild
S1007L2V	75120	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L34	22700	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	31	70	7	1	0	rebuild
S1007L5Q	97930	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	1	0	0	no_metrics
S1007L5U	76110	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L65	39150	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	13	26	1	0	0	rebuild
S1007L79	22920	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	60	6	0	0	rebuild
S1007L7B	26530	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	12	27	50	0	1	0	rebuild
S1007L81	76490	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L8I	81430	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	15	25	2	0	0	rebuild
S1007L8J	30300	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L8K	82540	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007L8L	23380	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	32	66	6	0	0	rebuild
S1007LAL	39350	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007LBA	27470	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LBY	64320	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	26	60	6	0	0	rebuild
S1007LCG	99930	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	52	4	0	0	rebuild
S1007LCM	99030	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	30	62	2	0	0	rebuild
S1007LDC	30500	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	10	22	50	2	0	0	rebuild
S1007LDO	36700	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	6	12	18	4	0	0	rebuild
S1007LDY	75160	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LEF	82000	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	18	40	2	0	0	rebuild
S1007LEK	26830	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	40	2	0	0	rebuild
S1007LGO	30930	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LH2	96010	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	46	2	1	0	rebuild
S1007LH3	75210	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	50	5	0	0	rebuild
S1007LHL	39220	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
