source=derived_metrics    | group=return        | group_label=収益指標         | metric=EquityRatioCurrent                                           | metric_label=自己資本比率（当期）
source=derived_metrics    | group=return        | group_label=収益指標         | metric=ROACurrent                                                   | metric_label=ROA（当期）
source=derived_metrics    | group=return        | group_label=収益指標         | metric=ROECurrent                                                   | metric_label=ROE（当期）
source=derived_metrics    | group=share         | group_label=株式             | metric=AssetsPerShareCurrent                                        | metric_label=1株資産（当期）
source=derived_metrics    | group=share         | group_label=株式             | metric=BPSCurrent                                                   | metric_label=BPS（当期）
source=derived_metrics    | group=share         | group_label=株式             | metric=EPSCurrent                                                   | metric_label=EPS（当期）
source=derived_metrics    | group=share         | group_label=株式             | metric=LiabilitiesPerShareCurrent                                   | metric_label=1株負債（当期）
source=derived_metrics    | group=share         | group_label=株式             | metric=OutstandingSharesCurrent                                     | metric_label=発行株数（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=AssetValueCurrent                                            | metric_label=資産価値（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=BusinessValueCurrent                                         | metric_label=事業価値（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=FinancialLeverageAdjustmentCurrent                           | metric_label=財務レバレッジ補正（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=TheoreticalPBRCurrent                                        | metric_label=理論PBR（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=TheoreticalPCFRCurrent                                       | metric_label=理論PCFR（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=TheoreticalPERCurrent                                        | metric_label=理論PER（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=TheoreticalSharePriceCurrent                                 | metric_label=理論株価（当期）
source=derived_metrics    | group=valuation     | group_label=評価             | metric=UpperBoundTheoreticalSharePriceCurrent                       | metric_label=上限理論株価（当期）
source=normalized_metrics | group=              | group_label=                 | metric=CashAndCashEquivalentsCurrent                                | metric_label=期末残（当期）
source=normalized_metrics | group=              | group_label=                 | metric=CostOfSalesAndSellingGeneralAndAdministrativeExpensesCurrent | metric_label=費用合計（当期）
source=normalized_metrics | group=              | group_label=                 | metric=CostOfSalesCurrent                                           | metric_label=売上原価（当期）
source=normalized_metrics | group=              | group_label=                 | metric=FeesAndCommissionsIncomeCurrent                              | metric_label=役務取引等収益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=FinancingCashCurrent                                         | metric_label=財務CF（当期）
source=normalized_metrics | group=              | group_label=                 | metric=FundingIncomeCurrent                                         | metric_label=資金運用収益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=GrossProfitCurrent                                           | metric_label=売上総利益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=InsuranceClaimsPaymentsCurrent                               | metric_label=保険金等支払金（当期）
source=normalized_metrics | group=              | group_label=                 | metric=InvestmentCashCurrent                                        | metric_label=投資CF（当期）
source=normalized_metrics | group=              | group_label=                 | metric=InvestmentExpensesCurrent                                    | metric_label=資産運用費用（当期）
source=normalized_metrics | group=              | group_label=                 | metric=IssuedSharesCurrent                                          | metric_label=発行済株式数（当期）
source=normalized_metrics | group=              | group_label=                 | metric=NetAssetsCurrent                                             | metric_label=純資産（当期）
source=normalized_metrics | group=              | group_label=                 | metric=NetSalesCurrent                                              | metric_label=売上高（当期）
source=normalized_metrics | group=              | group_label=                 | metric=OperatingCashCurrent                                         | metric_label=営業CF（当期）
source=normalized_metrics | group=              | group_label=                 | metric=OperatingIncomeCurrent                                       | metric_label=営業利益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=OrdinaryIncomeCurrent                                        | metric_label=経常利益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=PolicyReserveProvisionCurrent                                | metric_label=責任準備金等繰入額（当期）
source=normalized_metrics | group=              | group_label=                 | metric=ProfitLossCurrent                                            | metric_label=純利益（当期）
source=normalized_metrics | group=              | group_label=                 | metric=ProjectExpensesCurrent                                       | metric_label=事業費（当期）
source=normalized_metrics | group=              | group_label=                 | metric=SellingExpensesCurrent                                       | metric_label=販管費（当期）
